PDB PocketNumber Pocket_Score Drug_Score Number_of_V._Vertices Mean_alpha-sphere_radius Mean_alpha-sphere_SA Mean_B-factor Hydrophobicity_Score Polarity_Score Volume_Score Real_volume Charge_Score Local_hydrophobic_density_Score Number_of_apolar_alpha_sphere Proportion_of_apolar_alpha_sphere SASA AlphaHelix Coil Strand Turn Bridge Helix310
5ARM 0 38.0622 0.6690 68 4.6745 0.5294 0.5109 18.3158 8 3.0526 1193.5991 -1 23.0000 24 0.3529 1480.7 7 9 0 3 0 0
5AVG 0 39.5807 0.7176 48 4.9192 0.6432 0.1580 23.1538 10 4.5385 1296.4105 1 24.7692 26 0.5417 382.6 0 4 2 1 0 1
5AVH 0 41.8965 0.3669 149 4.9031 0.5086 0.1627 15.2424 20 4.0909 2528.3928 -2 27.8846 52 0.3490 969.2 5 9 1 10 0 0
5AVH 1 16.6146 0.4242 65 5.0025 0.5650 0.0455 30.2500 6 4.1250 1419.5374 0 34.0000 35 0.5385 933.6 14 1 0 1 0 0
5AVH 2 7.9716 0.0536 40 4.6640 0.5809 0.0872 16.1111 3 3.5556 807.7868 0 25.5556 27 0.6750 762.3 7 1 0 1 0 0
5B08 0 27.9889 0.0670 41 4.3874 0.4319 0.2556 15.8125 8 3.7500 752.5704 1 10.4211 19 0.4634 717.7 4 2 6 3 0 0
5BTW 0 32.6843 0.1356 41 4.8398 0.5871 0.2449 31.2000 6 3.9000 719.4201 1 17.7895 19 0.4634 850 4 1 1 4 0 0
5BTW 1 30.4299 0.4633 39 4.8440 0.5450 0.3207 33.0000 2 3.6667 941.0864 1 32.0000 33 0.8462 530.4 0 1 3 2 0 0
5BTY 0 34.8722 0.0598 45 4.7458 0.6167 0.1883 10.9000 8 4.1000 947.5270 2 7.5556 9 0.2000 544.3 4 3 0 2 0 1
5C98 0 34.1370 0.6261 39 4.6922 0.4990 0.1745 35.2857 5 3.7857 819.3533 1 21.9130 23 0.5897 1049.3 0 4 6 4 0 0
5DAZ 0 39.7647 0.5250 52 4.4796 0.4585 0.3859 22.2667 11 4.2667 949.2786 1 13.0000 14 0.2692 893.1 3 2 4 4 0 1
5DMD 0 27.0156 0.2586 42 4.7963 0.5920 0.1597 44.3571 6 4.2857 1037.4198 2 4.8571 7 0.1667 729.6 0 2 9 3 0 0
5E1W 0 31.3272 0.5821 66 4.9494 0.5407 0.2277 33.0833 5 3.9167 1624.1193 4 38.2500 40 0.6061 1159.6 8 3 0 0 0 0
5E1W 1 30.2153 0.8583 59 5.0264 0.5654 0.0987 37.0000 7 4.3571 1627.9600 -3 41.4583 48 0.8136 1305.2 9 2 0 1 0 2
5E1W 2 20.0904 0.8106 45 4.6389 0.5567 0.0600 55.3333 4 4.3333 1088.8698 2 36.7619 42 0.9333 903.6 12 0 0 0 0 0
5EHA 0 33.2853 0.0358 44 4.7304 0.5559 0.3056 7.0000 10 3.7500 803.9214 0 3.0000 4 0.0909 776.5 0 4 3 3 0 0
5EJ3 0 38.2948 0.7781 83 4.6402 0.5457 0.3393 28.8750 9 4.5625 994.6024 0 30.3529 34 0.4096 837.4 0 2 13 1 0 0
5EJ3 1 18.7278 0.0471 48 4.9974 0.5736 0.4771 21.7143 8 4.2143 1255.5974 0 8.0000 9 0.1875 628 0 1 10 2 0 0
5G51 0 35.5898 0.5443 61 4.7622 0.6159 0.3426 13.6429 7 3.4286 1291.1387 -1 21.6154 26 0.4262 930.8 0 6 2 3 1 0
5G5C 0 41.5500 0.8109 125 4.7526 0.5765 0.3335 32.0357 16 4.0357 2063.2649 -3 66.3659 82 0.6560 1289.9 9 4 0 15 0 0
5G5C 1 7.0995 0.0247 51 4.5729 0.5339 0.7054 31.7000 4 3.6000 880.1299 0 25.7857 28 0.5490 733 6 3 0 0 0 0
5GT5 0 39.7417 0.5751 109 4.8617 0.5517 0.1795 6.6800 20 4.0400 2710.5586 5 16.6286 35 0.3211 1128.9 0 4 5 14 0 3
5GT5 1 22.2538 0.0126 59 4.7902 0.5169 0.1502 8.3333 10 3.6000 756.8799 2 6.1538 13 0.2203 637.2 0 1 3 8 0 3
5GT5 2 19.3730 0.0105 40 4.7571 0.5144 0.1353 -14.6000 14 3.8000 676.9443 3 0.0000 0 0.0000 708.4 2 5 5 3 0 0
5GYC 0 40.4861 0.6019 89 4.8675 0.5338 0.2786 10.5000 9 3.8125 955.2119 -2 36.6316 38 0.4270 633.6 0 3 11 2 0 0
5GYC 1 12.7884 0.0154 36 4.4926 0.4881 0.1041 17.0000 5 3.6000 390.5841 -2 5.0000 6 0.1667 308.8 2 0 7 1 0 0
5GYC 2 11.0665 0.0532 38 5.0236 0.6552 0.3496 19.7500 9 4.3333 1023.4028 0 5.0000 6 0.1579 689.5 1 4 5 2 0 0
5H1N 0 35.8866 0.1654 36 4.6766 0.5729 0.5424 -5.3333 9 4.7778 855.0565 2 17.8000 20 0.5556 621.6 5 2 0 2 0 0
5H7T 0 27.0338 0.0765 52 4.8638 0.5298 0.1590 27.3125 8 4.2500 1252.7960 -1 1.0000 2 0.0385 720.4 6 3 0 5 0 0
5H9K 0 43.3393 0.5731 67 4.6724 0.5300 0.3290 6.3684 13 3.7895 823.2266 2 20.8000 25 0.3731 964.1 0 4 10 5 0 0
5HOC 0 33.8373 0.9489 43 4.7936 0.5875 0.0944 58.5000 4 4.8000 1024.0465 0 37.0256 39 0.9070 858.8 9 1 0 0 0 0
5HOC 1 30.1317 0.9212 42 4.7010 0.5042 0.0995 53.1111 5 4.8889 1348.6063 -1 33.1111 36 0.8571 803.6 8 1 0 0 0 0
5I32 0 37.9393 0.7223 46 4.7915 0.4829 0.1151 23.6000 6 3.2667 822.4268 -1 25.0000 26 0.5652 605.7 7 6 0 2 0 0
5I45 0 35.0398 0.4581 40 5.0088 0.6949 0.1693 19.8889 5 3.6667 912.5311 1 14.5000 16 0.4000 468.4 5 0 2 0 0 0
5I4I 0 38.8341 0.1630 72 4.8867 0.5338 0.1995 9.6316 11 3.5263 1047.7041 1 16.7778 18 0.2500 799.6 5 2 0 12 0 0
5I4I 1 26.4907 0.7188 40 5.0587 0.6885 0.2428 41.2857 6 4.0714 681.1448 2 24.0000 25 0.6250 669.3 8 5 0 0 1 0
5I4I 2 14.9198 0.0098 37 4.9407 0.6721 0.2499 4.7778 4 4.0000 922.8646 1 10.0000 11 0.2973 560 2 4 0 1 0 1
5I5N 0 31.3203 0.1636 42 4.5176 0.4797 0.3403 30.0714 7 3.7857 790.4024 1 8.0000 9 0.2143 1058.8 5 0 0 7 0 2
5ID8 0 36.6628 0.0806 38 4.4027 0.4757 0.2516 17.1429 8 3.5714 385.6395 -3 8.0000 9 0.2368 534.1 0 0 11 4 0 0
5ID8 1 30.4187 0.2313 36 4.9293 0.6492 0.0428 20.7143 4 3.5000 960.0371 1 14.0000 15 0.4167 884.5 0 4 5 4 1 0
5IHS 0 34.8016 0.3813 37 5.0645 0.7311 0.0287 20.4444 5 3.5556 884.9277 0 17.5238 21 0.5676 554.6 9 0 0 0 0 0
5IHW 0 40.5609 0.3588 39 4.9469 0.5781 0.3805 6.5385 9 3.3077 911.2445 4 10.0000 11 0.2821 760.6 0 3 2 7 0 1
5IHW 1 33.2167 0.0513 38 4.5364 0.4881 0.3829 36.7692 4 3.7692 314.3291 2 5.0000 6 0.1579 566.5 0 5 3 4 0 0
5II6 0 38.7251 0.0991 46 4.6719 0.5474 0.5889 -7.0000 9 4.0000 761.7367 -4 8.0000 9 0.1957 1259 0 7 4 1 0 0
5IJM 0 34.9172 0.5497 47 4.9418 0.5756 0.1509 48.6667 5 4.5833 815.0435 1 17.0000 18 0.3830 788.6 10 2 0 0 0 0
5ISV 0 34.3009 0.7951 147 4.7657 0.5167 0.0379 30.5000 11 4.0000 2472.5256 -1 28.2456 57 0.3878 1511.5 7 2 10 8 0 0
5ITM 0 40.8477 0.3817 43 4.4813 0.4595 0.3477 13.0833 10 3.9167 759.0168 -1 7.5556 9 0.2093 801.1 0 0 7 6 1 0
5ITM 1 30.4057 0.0622 38 4.5637 0.5756 0.1211 20.7500 5 4.2500 808.9725 1 6.0000 7 0.1842 644.8 0 1 2 6 0 0
5ITQ 0 34.8162 0.7296 153 4.9271 0.5586 0.1001 24.3000 14 4.0000 2598.3137 0 55.8537 82 0.5359 1431.4 11 5 4 10 0 0
5ITQ 1 14.8467 0.0305 87 4.8225 0.4689 0.3426 27.2353 8 4.1176 1871.6057 0 18.3571 28 0.3218 1380.9 8 3 0 4 0 2
5JO8 0 28.9943 0.0408 37 5.1012 0.7217 0.4646 28.0000 4 4.3000 912.2307 -2 10.0000 11 0.2973 689.6 5 4 0 1 0 0
5JQN 0 29.8855 0.2213 70 4.6862 0.5693 0.1503 5.2308 3 3.3077 1449.1721 -3 22.3333 24 0.3429 835.2 10 2 0 0 0 0
5LF9 0 39.5841 0.1937 102 4.7400 0.4911 0.3101 14.5000 14 4.2917 1714.4539 -3 14.1111 18 0.1765 1261.9 5 4 7 7 1 0
5MBQ 0 36.6309 0.6115 60 4.8833 0.4704 0.4414 21.3846 6 3.8462 1117.2334 2 20.0000 21 0.3500 851.9 1 5 0 4 0 3
5MFI 0 40.2084 0.4132 64 4.8978 0.6332 0.6742 10.8571 10 4.2857 1270.3787 1 16.0000 17 0.2656 843.5 9 1 0 0 0 0
5MFI 1 33.8681 0.0293 54 4.3341 0.4524 0.3832 -1.5556 14 4.2222 501.3736 1 3.0000 4 0.0741 311.2 9 4 0 0 0 0
5MFI 2 25.5931 0.1453 40 5.1434 0.6215 0.6135 -2.0909 5 2.7273 841.6376 1 15.0000 16 0.4000 505 6 3 0 0 0 0
5MFI 3 20.6196 0.0967 38 4.7146 0.5977 0.3377 21.3636 6 4.8182 1016.9045 -1 12.0000 15 0.3947 649.1 6 3 0 0 0 0
5MPV 0 35.0698 0.6485 42 4.7609 0.5133 0.1513 16.1111 4 4.0000 853.5185 0 24.8462 26 0.6190 757.6 4 3 0 2 0 0
5MUK 0 34.7754 0.2128 142 4.8233 0.5397 0.2953 34.8529 12 3.6765 1991.5989 -2 11.6667 18 0.1268 1029 0 9 19 2 1 0
5MUK 1 19.1992 0.0423 45 4.6860 0.5417 0.1546 4.6875 14 4.0000 931.0505 -1 7.5556 9 0.2000 651.3 3 0 4 8 0 0
5N4B 0 38.3589 0.0578 125 4.8887 0.5101 0.2451 -2.1304 18 3.8261 2276.9163 -3 22.4737 38 0.3040 1690.7 0 7 4 11 0 1
5N4B 1 37.4255 0.5687 117 4.6992 0.5470 0.1632 18.9643 15 3.5714 1736.7727 0 41.0980 51 0.4359 1237.5 0 8 4 12 1 3
5N4B 2 22.8166 0.0344 72 4.6065 0.4989 0.0849 15.3600 16 4.2000 1026.8650 7 8.1818 11 0.1528 902.5 0 1 19 5 0 0
5N4B 3 20.6608 0.0266 59 4.6538 0.5380 0.1923 23.0556 12 4.1111 707.8051 1 7.0000 8 0.1356 777.8 2 4 3 8 0 1
5N4B 4 15.5865 0.1365 62 4.9531 0.6465 0.1083 30.5833 8 4.5000 1489.8726 2 29.9429 35 0.5645 747.6 5 0 4 2 0 0
5N8B 0 32.4679 0.0691 151 4.7644 0.4743 0.2175 17.0000 17 4.1250 2683.4890 -3 9.4286 28 0.1854 1767 0 9 14 3 0 9
5N8B 1 30.2124 0.0456 150 4.7702 0.5014 0.1459 15.4091 16 4.1818 3062.6794 -3 7.2222 18 0.1200 1737.9 0 6 15 4 0 9
5N8B 2 17.2600 0.2506 39 4.9143 0.6360 0.0816 4.5455 8 3.1818 874.0937 1 21.0000 22 0.5641 538.4 0 8 1 0 0 3
5N8B 3 17.2488 0.1845 36 4.9250 0.6127 0.1768 5.2500 9 3.1667 707.6628 1 19.0000 20 0.5556 536.5 0 7 1 2 0 2
5N8B 4 16.4037 0.0747 37 4.9850 0.6046 0.2015 5.2500 9 3.1667 719.9549 1 16.0000 17 0.4595 530.7 0 7 1 2 0 2
5NOA 0 38.2522 0.2911 42 4.8024 0.5702 0.2260 18.1538 8 4.3077 924.1794 1 11.0000 12 0.2857 632.3 2 1 0 5 3 1
5NR4 0 35.3200 0.7455 39 4.7249 0.6849 0.1643 25.8000 5 3.7000 709.2853 0 19.0000 20 0.5128 599.3 10 0 0 0 0 0
5NT7 0 35.4768 0.1252 44 4.5095 0.4187 0.2946 1.0000 7 3.6000 766.8301 0 10.7692 13 0.2955 649.5 5 2 0 3 0 0
5NT7 1 30.3857 0.0356 39 4.4472 0.3966 0.3396 1.0000 7 3.6000 670.7244 0 7.7778 9 0.2308 687.1 5 2 0 3 0 0
5O29 0 29.3352 0.5281 75 4.9321 0.6789 0.1134 -2.0667 9 3.6667 1721.1204 -2 31.0000 50 0.6667 1290.7 4 7 2 2 0 0
5O29 1 23.8415 0.3599 56 4.7298 0.5129 0.2023 32.1333 5 3.6667 1276.3351 0 26.4828 29 0.5179 941.1 6 3 0 3 2 1
5O29 2 21.2040 0.0689 39 4.7688 0.5694 0.1612 -0.5714 9 3.4286 1069.0244 2 18.0000 19 0.4872 570.5 12 2 0 0 0 0
5O29 3 13.7974 0.0179 39 4.8941 0.5490 0.1122 21.0833 3 3.8333 799.6594 0 14.0000 15 0.3846 818.5 3 5 0 3 0 0
5O95 0 37.5889 0.2736 104 4.8334 0.5749 0.0403 22.2500 12 3.7917 1883.4772 -2 23.5484 31 0.2981 1017 2 11 3 7 0 0
5O95 1 25.4983 0.5317 52 4.5542 0.4905 0.6818 15.3571 10 4.0714 840.8685 2 32.6471 34 0.6538 923.6 6 3 0 5 0 0
5O95 2 22.9713 0.0591 63 4.8304 0.5395 0.0976 17.4167 7 4.0000 932.9984 -2 21.3043 23 0.3651 695.9 8 2 1 1 0 0
5O95 3 21.9662 0.1197 58 4.5480 0.4601 0.0614 32.3333 8 4.0556 1047.5533 -1 20.0000 21 0.3621 597.1 1 9 1 5 0 0
5O95 4 15.7784 0.0103 64 4.8156 0.5853 0.3284 -1.6667 7 3.6667 1261.5082 -2 7.8571 14 0.2188 979.6 5 6 1 3 0 0
5O95 5 13.2135 0.0097 46 4.7023 0.5251 0.5483 2.8182 6 4.2727 794.8243 -2 9.0000 10 0.2174 1097.5 0 5 0 6 0 0
5O95 6 8.9275 0.0155 38 4.6845 0.6077 0.4225 14.7500 7 3.8333 803.5599 -2 6.6667 9 0.2368 800.1 5 2 2 3 0 0
5OJ5 0 34.9783 0.0639 48 4.6433 0.4694 0.0970 6.5714 7 4.5000 777.2902 4 6.0000 7 0.1458 536.3 0 1 10 1 0 0
5OJ5 1 33.4043 0.1392 47 4.6545 0.5121 0.0558 33.3529 8 3.8824 869.6943 3 4.0000 5 0.1064 561 0 0 14 2 0 0
5OXC 0 38.1612 0.4995 41 5.0328 0.7377 0.1177 -10.0000 8 3.7000 1126.1052 1 12.4286 14 0.3415 830.5 0 5 1 4 0 0
5OXC 1 30.8960 0.0527 38 4.5251 0.5347 0.0859 1.6000 6 3.6000 747.8038 0 8.0000 9 0.2368 701.9 0 0 9 0 0 0
5OXZ 0 39.3002 0.0692 41 4.8878 0.5995 0.3157 5.1875 13 3.5000 1053.5245 0 5.0000 6 0.1463 769.9 0 5 4 0 0 0
5SUI 0 44.0259 0.8477 67 4.5290 0.4550 0.1039 35.8235 12 4.9412 823.0165 0 23.0000 24 0.3582 844.7 0 1 11 4 1 0
5SUI 1 28.2258 0.0432 58 4.8777 0.5270 0.0558 29.9444 8 4.2778 805.1024 1 7.0000 8 0.1379 803.6 0 2 9 6 0 1
5SUI 2 27.4062 0.0595 51 4.7330 0.5591 0.2053 16.0667 9 4.4000 1267.9670 1 13.6000 15 0.2941 1111.4 0 5 4 4 1 1
5SV2 0 33.0407 0.6049 59 4.8435 0.5936 0.5017 23.9231 4 3.3077 1109.2085 -2 19.2500 24 0.4068 1005.5 9 2 0 2 0 0
5SXO 0 36.1719 0.6198 50 4.9346 0.5561 0.1487 36.6000 4 3.7000 788.8990 2 34.0000 35 0.7000 635.8 3 4 0 3 0 0
5TOQ 0 40.9434 0.6997 91 4.7341 0.4627 0.1949 21.4167 12 4.4583 1340.0485 2 42.5333 45 0.4945 1073.1 5 9 2 7 0 0
5TOQ 1 24.5264 0.1249 67 4.5492 0.4714 0.1513 18.9375 9 4.0625 1253.8088 1 29.8889 36 0.5373 1112.3 2 8 0 6 0 0
5TOQ 2 14.2144 0.0104 55 5.0724 0.5801 0.1304 -0.2000 7 3.5000 1578.5364 2 9.2727 11 0.2000 871.3 10 2 0 6 0 0
5TOQ 3 10.7495 0.0266 50 4.6597 0.4713 0.2545 27.1667 7 4.1111 1136.3229 1 5.1111 9 0.1800 907.6 2 4 2 10 0 0
5TZ5 0 37.4181 0.8273 41 4.8161 0.4841 0.3727 41.9286 7 4.2857 994.4016 0 14.0000 15 0.3659  0 0 0 0 0 0
5TZ5 1 28.8389 0.0300 38 4.8020 0.5438 0.2760 17.6000 7 4.0000 766.2986 2 4.0000 5 0.1316 322.8 0 1 1 3 0 0
5TZ5 2 27.6795 0.0275 39 4.7955 0.5619 0.1472 18.5000 7 4.2000 758.0076 2 1.0000 2 0.0513 336.9 0 1 2 2 0 0
5TZ5 3 25.5097 0.0318 36 4.8470 0.5392 0.5407 21.1818 7 4.0000 940.9052 3 2.0000 3 0.0833  0 0 0 0 0 0
5U5O 0 36.8314 0.6281 84 4.6494 0.5587 0.2166 13.7778 13 3.6667 1924.7197 -1 21.7368 38 0.4524 1217.3 4 2 6 6 0 0
5U5O 1 22.6961 0.1033 38 4.8393 0.6615 0.4107 25.5000 9 4.1667 672.8799 1 14.0000 15 0.3947 686.8 2 5 2 1 0 1
5UMP 0 37.5527 0.9532 51 4.8249 0.4989 0.3869 52.5294 9 5.2353 1166.1427 0 32.3429 35 0.6863 1139.7 0 3 9 5 0 0
5UMP 1 21.6047 0.0269 37 4.6380 0.5734 0.1355 15.0000 7 3.6364 824.7128 1 9.0000 10 0.2703 645.3 5 3 1 2 0 0
